idx,cycle_period,storm2drought_ratio,storm_onset_month,storm_onset_day,ratio
368.0,135.0,0.1,10.0,1.0,1.0311751781296343
369.0,135.0,0.2,2.0,1.0,1.004396221299566
370.0,135.0,0.2,3.0,1.0,0.9101837620096029
371.0,135.0,0.2,4.0,1.0,1.0493565258926325
372.0,135.0,0.2,5.0,1.0,1.1395105160674408
373.0,135.0,0.2,6.0,1.0,1.1390309939473127
374.0,135.0,0.2,7.0,1.0,1.0214018142184693
375.0,135.0,0.2,8.0,1.0,0.9979068896955687
376.0,135.0,0.2,9.0,1.0,1.1708651711678326
377.0,135.0,0.2,10.0,1.0,1.1528716171072078
378.0,135.0,0.3,2.0,1.0,0.9063829527852089
379.0,135.0,0.3,3.0,1.0,0.8782771169093196
380.0,135.0,0.3,4.0,1.0,1.0484293540560996
381.0,135.0,0.3,5.0,1.0,1.1358619622676953
382.0,135.0,0.3,6.0,1.0,1.108471501187217
383.0,135.0,0.3,7.0,1.0,0.888166985947487
384.0,135.0,0.3,8.0,1.0,0.9807145803876919
385.0,135.0,0.3,9.0,1.0,1.1542932941064452
386.0,135.0,0.3,10.0,1.0,1.1504541480811519
387.0,135.0,0.4,2.0,1.0,0.8232347381211164
388.0,135.0,0.4,3.0,1.0,0.8687625181472431
389.0,135.0,0.4,4.0,1.0,1.0396555460729744
390.0,135.0,0.4,5.0,1.0,1.1349785336082236
391.0,135.0,0.4,6.0,1.0,1.037003599443181
392.0,135.0,0.4,7.0,1.0,0.9105732660161625
393.0,135.0,0.4,8.0,1.0,0.9797534053171773
394.0,135.0,0.4,9.0,1.0,1.1408212944555367
395.0,135.0,0.4,10.0,1.0,1.1289095964700904
396.0,135.0,0.5,2.0,1.0,0.7811148557596718
397.0,135.0,0.5,3.0,1.0,0.866658520384607
398.0,135.0,0.5,4.0,1.0,1.0444192024045889
399.0,135.0,0.5,5.0,1.0,1.135179664958745
400.0,135.0,0.5,6.0,1.0,0.9802283704175925
401.0,135.0,0.5,7.0,1.0,0.9060636858799073
402.0,135.0,0.5,8.0,1.0,0.9757400833998451
403.0,135.0,0.5,9.0,1.0,1.1369935366125998
404.0,135.0,0.5,10.0,1.0,1.127440958382228
405.0,150.0,0.1,2.0,1.0,0.9676453970372585
406.0,150.0,0.1,3.0,1.0,1.0611445467560146
407.0,150.0,0.1,4.0,1.0,1.0982251036162574
408.0,150.0,0.1,5.0,1.0,1.1642166125760958
409.0,150.0,0.1,6.0,1.0,1.1451445525220147
410.0,150.0,0.1,7.0,1.0,1.0685180556303335
411.0,150.0,0.1,8.0,1.0,1.1469144438702248
412.0,150.0,0.1,9.0,1.0,1.0951067937678205
413.0,150.0,0.1,10.0,1.0,1.118848335993375
414.0,150.0,0.2,2.0,1.0,0.8936861398596695
415.0,150.0,0.2,3.0,1.0,1.015524265511465
416.0,150.0,0.2,4.0,1.0,1.0857904178721616
417.0,150.0,0.2,5.0,1.0,1.1401163168500275
418.0,150.0,0.2,6.0,1.0,1.060725641394418
419.0,150.0,0.2,7.0,1.0,0.9958845843271443
420.0,150.0,0.2,8.0,1.0,1.1296264799808888
421.0,150.0,0.2,9.0,1.0,1.1565348005245542
422.0,150.0,0.2,10.0,1.0,1.1486790465054413
423.0,150.0,0.3,2.0,1.0,0.9112291311622648
424.0,150.0,0.3,3.0,1.0,1.0037082503286576
425.0,150.0,0.3,4.0,1.0,1.0685440369642842
426.0,150.0,0.3,5.0,1.0,1.1358308008053446
427.0,150.0,0.3,6.0,1.0,0.9695341427980453
428.0,150.0,0.3,7.0,1.0,0.9595293592298706
429.0,150.0,0.3,8.0,1.0,1.115313130668447
430.0,150.0,0.3,9.0,1.0,1.1551680077488127
431.0,150.0,0.3,10.0,1.0,1.1441460535224073
432.0,150.0,0.4,2.0,1.0,0.9024186480074291
433.0,150.0,0.4,3.0,1.0,0.9965069012914911
434.0,150.0,0.4,4.0,1.0,1.0906698953546112
435.0,150.0,0.4,5.0,1.0,1.1258358428704645
436.0,150.0,0.4,6.0,1.0,0.8748477001941358
437.0,150.0,0.4,7.0,1.0,0.9519688619675343
438.0,150.0,0.4,8.0,1.0,1.1138672851365703
439.0,150.0,0.4,9.0,1.0,1.1460059652185453
440.0,150.0,0.4,10.0,1.0,1.1342690519448149
441.0,150.0,0.5,2.0,1.0,0.90029811009881
442.0,150.0,0.5,3.0,1.0,0.9956287046450601
443.0,150.0,0.5,4.0,1.0,1.0902174149961952
444.0,150.0,0.5,5.0,1.0,1.1019676439388706
445.0,150.0,0.5,6.0,1.0,0.9016448599603436
446.0,150.0,0.5,7.0,1.0,0.9543093437925664
447.0,150.0,0.5,8.0,1.0,1.1119307161715386
448.0,150.0,0.5,9.0,1.0,1.1363233556845986
449.0,150.0,0.5,10.0,1.0,1.0634168676873095
450.0,165.0,0.1,2.0,1.0,1.0102966889462655
451.0,165.0,0.1,3.0,1.0,1.115614044378959
452.0,165.0,0.1,4.0,1.0,1.0917148454700094
453.0,165.0,0.1,5.0,1.0,1.152239535930627
454.0,165.0,0.1,6.0,1.0,1.0678361620264323
455.0,165.0,0.1,7.0,1.0,1.0082094500973295
456.0,165.0,0.1,8.0,1.0,1.1459777965926168
457.0,165.0,0.1,9.0,1.0,1.0989322204797998
458.0,165.0,0.1,10.0,1.0,1.1431339386739037
459.0,165.0,0.2,2.0,1.0,1.0286133701735265
460.0,165.0,0.2,3.0,1.0,1.066506159767572
461.0,165.0,0.2,4.0,1.0,1.0917873788312378
462.0,165.0,0.2,5.0,1.0,1.1260455993205845
463.0,165.0,0.2,6.0,1.0,0.9317646362303159
464.0,165.0,0.2,7.0,1.0,0.9803153657357463
465.0,165.0,0.2,8.0,1.0,1.1426455255934864
466.0,165.0,0.2,9.0,1.0,1.1658409906551033
467.0,165.0,0.2,10.0,1.0,1.146478816723286
468.0,165.0,0.3,2.0,1.0,1.0211519422189235
469.0,165.0,0.3,3.0,1.0,1.0363707002200322
470.0,165.0,0.3,4.0,1.0,1.078458486930852
471.0,165.0,0.3,5.0,1.0,1.0529513914465465
472.0,165.0,0.3,6.0,1.0,0.9117365073184688
473.0,165.0,0.3,7.0,1.0,0.9731977098963973
474.0,165.0,0.3,8.0,1.0,1.1380134280217145
475.0,165.0,0.3,9.0,1.0,1.1413513377928974
476.0,165.0,0.3,10.0,1.0,1.139878909150326
477.0,165.0,0.4,2.0,1.0,1.0148603149022373
478.0,165.0,0.4,3.0,1.0,1.0347783667992583
479.0,165.0,0.4,4.0,1.0,1.0919088798607197
